"gid"	"log2RPKM"	"sex"	"bias"
"TRINITY_DN125828_c2_g2_i3"	-0.295315858	"meanmale"	"female"
"TRINITY_DN129827_c4_g3_i1"	1.454715849	"meanmale"	"female"
"TRINITY_DN130424_c0_g1_i4"	-3.709884331	"meanmale"	"female"
"TRINITY_DN127730_c0_g10_i1"	-7.041034287	"meanmale"	"female"
"TRINITY_DN124832_c12_g1_i1"	-4.853432567	"meanmale"	"female"
"TRINITY_DN135160_c6_g2_i1"	-4.691828283	"meanmale"	"female"
"TRINITY_DN98620_c0_g2_i1"	-1.455154794	"meanmale"	"female"
"TRINITY_DN133281_c3_g3_i6"	-0.118423643	"meanmale"	"female"
"TRINITY_DN131394_c0_g1_i2"	-0.751739535	"meanmale"	"female"
"TRINITY_DN114530_c0_g5_i1"	-2.836618838	"meanmale"	"female"
"TRINITY_DN47360_c0_g1_i1"	-4.58857147	"meanmale"	"female"
"TRINITY_DN126147_c0_g2_i5"	-6.187751008	"meanmale"	"female"
"TRINITY_DN121030_c0_g1_i1"	-0.266316211	"meanmale"	"female"
"TRINITY_DN131178_c0_g2_i1"	-6.889445099	"meanmale"	"female"
"TRINITY_DN125971_c0_g1_i2"	0.422915921	"meanmale"	"female"
"TRINITY_DN133674_c1_g2_i1"	-4.717965008	"meanmale"	"female"
"TRINITY_DN134793_c1_g3_i3"	-1.071798804	"meanmale"	"female"
"TRINITY_DN132173_c9_g2_i1"	-0.609640261	"meanmale"	"female"
"TRINITY_DN135835_c0_g1_i3"	-0.326446827	"meanmale"	"female"
"TRINITY_DN129466_c1_g5_i1"	-0.277973392	"meanmale"	"female"
"TRINITY_DN124190_c0_g2_i1"	-0.838530121	"meanmale"	"female"
"TRINITY_DN125054_c0_g2_i1"	-1.972232546	"meanmale"	"female"
"TRINITY_DN124362_c0_g5_i1"	-2.906600763	"meanmale"	"female"
"TRINITY_DN129466_c1_g2_i3"	0.357648481	"meanmale"	"female"
"TRINITY_DN130939_c1_g4_i1"	-4.667515571	"meanmale"	"female"
"TRINITY_DN125350_c0_g1_i1"	-5.056432023	"meanmale"	"female"
"TRINITY_DN69434_c0_g1_i1"	-4.357426558	"meanmale"	"female"
"TRINITY_DN89311_c0_g1_i1"	-3.314973166	"meanmale"	"female"
"TRINITY_DN113269_c0_g1_i2"	-4.761700535	"meanmale"	"female"
"TRINITY_DN136529_c1_g1_i7"	5.423565279	"meanmale"	"female"
"TRINITY_DN111724_c0_g1_i1"	0.894916232	"meanmale"	"female"
"TRINITY_DN129826_c4_g2_i2"	-3.180369064	"meanmale"	"female"
"TRINITY_DN135584_c0_g3_i2"	-4.133237111	"meanmale"	"female"
"TRINITY_DN92629_c0_g4_i1"	-2.580387124	"meanmale"	"female"
"TRINITY_DN7291_c0_g1_i1"	-3.506781387	"meanmale"	"female"
"TRINITY_DN130516_c2_g3_i1"	-2.442413594	"meanmale"	"female"
"TRINITY_DN110684_c0_g1_i2"	-4.114908224	"meanmale"	"female"
"TRINITY_DN132180_c5_g1_i6"	-0.830902747	"meanmale"	"female"
"TRINITY_DN129042_c7_g5_i3"	1.044290009	"meanmale"	"female"
