gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN115334_c0_g2_i2	-7.173046555	7	female	NA
TRINITY_DN135727_c2_g2_i1	-7.160257086	7	female	NA
TRINITY_DN103798_c0_g1_i1	-7.142695044	7	female	1.137233564
TRINITY_DN126126_c1_g3_i1	-7.140596704	7	female	NA
TRINITY_DN132253_c2_g8_i2	-7.138960431	7	female	NA
TRINITY_DN124333_c0_g1_i1	-7.119241644	7	female	NA
TRINITY_DN103897_c0_g3_i1	-7.099180438	7	female	NA
TRINITY_DN131327_c3_g4_i1	-7.099077152	7	female	NA
TRINITY_DN116067_c0_g1_i1	-7.081456306	7	female	-1.059035365
TRINITY_DN95878_c0_g1_i2	-7.063057687	7	female	NA
TRINITY_DN121522_c0_g1_i3	-7.062353398	7	female	NA
TRINITY_DN74421_c0_g1_i1	-7.0481186	7	female	NA
TRINITY_DN132122_c0_g3_i7	-7.046388986	7	female	NA
TRINITY_DN120818_c0_g1_i2	-7.031249255	7	female	-0.656312642
TRINITY_DN95890_c0_g1_i1	-7.019551481	7	female	1.600885402
TRINITY_DN181076_c0_g1_i1	-7.018597633	7	female	-0.37006465
TRINITY_DN109099_c0_g2_i2	-7.018575647	7	female	NA
TRINITY_DN118245_c0_g1_i2	-6.995827454	5	female	3.673766505
TRINITY_DN120314_c0_g3_i1	-6.968537772	5	female	NA
TRINITY_DN110103_c0_g1_i1	-6.960532867	5	female	-1.434505101
TRINITY_DN133921_c11_g2_i2	-6.956907776	5	female	NA
TRINITY_DN128157_c0_g1_i3	-6.945705738	5	female	NA
TRINITY_DN134055_c0_g1_i1	-6.943590743	5	female	-1.53727301
TRINITY_DN132810_c2_g2_i1	-6.939360753	5	female	NA
TRINITY_DN125119_c3_g4_i1	-6.931187888	5	female	NA
TRINITY_DN131157_c0_g1_i1	-6.916021126	5	female	NA
TRINITY_DN193701_c0_g1_i1	-6.900269412	5	female	NA
TRINITY_DN118554_c3_g1_i4	-6.888322985	5	female	-0.790546197
TRINITY_DN115449_c0_g4_i8	-6.874024271	5	female	1.150139153
TRINITY_DN125454_c3_g1_i1	-6.873310603	5	female	-0.179265697
TRINITY_DN128175_c8_g3_i2	-6.868565212	5	female	NA
TRINITY_DN117724_c0_g1_i1	-6.865544629	5	female	-1.86976275
TRINITY_DN112226_c0_g2_i2	-6.846507977	5	female	NA
TRINITY_DN113605_c0_g1_i1	-6.824035112	5	female	NA
TRINITY_DN114530_c0_g6_i4	-6.811114045	5	female	-2.416806861
TRINITY_DN134122_c5_g6_i1	-6.776411166	5	female	-1.326542295
TRINITY_DN125828_c2_g2_i3	-6.771656354	5	female	-0.468423552
TRINITY_DN129827_c4_g3_i1	-6.761444342	5	female	1.347831932
TRINITY_DN130424_c0_g1_i4	-6.760722639	5	female	NA
