gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	sex
TRINITY_DN128436_c4_g1_i1	1.073404735	FC1	male	0.564019657	male
TRINITY_DN129540_c3_g1_i3	1.073687398	FC1	male	4.666571576	male
TRINITY_DN95837_c0_g1_i1	1.073946588	FC1	male	2.145238767	male
TRINITY_DN122757_c0_g1_i4	1.074187812	FC1	male	6.233405118	male
TRINITY_DN124983_c6_g6_i1	1.074381169	FC1	male	1.807993023	male
TRINITY_DN125683_c8_g2_i1	1.074404467	FC1	male	3.177524277	male
TRINITY_DN128687_c0_g1_i2	1.075001474	FC1	male	3.347214134	male
TRINITY_DN134419_c0_g2_i4	1.075511903	FC1	male	0.942130213	male
TRINITY_DN124905_c0_g4_i1	1.075816327	FC1	male	2.74148124	male
TRINITY_DN125602_c0_g1_i2	1.075880308	FC1	male	1.101606095	male
TRINITY_DN125797_c0_g2_i1	1.076362513	FC1	male	1.390058696	male
TRINITY_DN125846_c0_g1_i1	1.07643817	FC1	male	3.935174905	male
TRINITY_DN123671_c5_g1_i1	1.076622796	FC1	male	0.207817366	male
TRINITY_DN127229_c2_g1_i1	1.076707468	FC1	male	2.640607124	male
TRINITY_DN129329_c6_g1_i3	1.076816352	FC1	male	4.548012983	male
TRINITY_DN109203_c0_g1_i1	1.077200864	FC1	male	3.344872542	male
TRINITY_DN122908_c0_g1_i1	1.077246599	FC1	male	0.38345305	male
TRINITY_DN132715_c5_g1_i1	1.07757232	FC1	male	1.784486098	male
TRINITY_DN116332_c0_g6_i1	1.077687345	FC1	male	0.987930119	male
TRINITY_DN199337_c0_g1_i1	1.077999526	FC1	male	0.957827641	male
TRINITY_DN133584_c1_g2_i1	1.078119757	FC1	male	2.965621822	male
TRINITY_DN134871_c1_g2_i1	1.078463256	FC1	male	1.489759435	male
TRINITY_DN133899_c4_g4_i2	1.079109249	FC1	male	2.62996462	male
TRINITY_DN130854_c0_g3_i2	1.080019324	FC1	male	3.952690964	male
TRINITY_DN106281_c0_g2_i1	1.080083346	FC1	male	2.185830423	male
TRINITY_DN109714_c0_g1_i1	1.080707085	FC1	male	-0.357235772	male
TRINITY_DN130794_c4_g14_i1	1.081022181	FC1	male	NA	male
TRINITY_DN125689_c3_g5_i4	1.081607505	FC1	male	2.085767911	male
TRINITY_DN129329_c6_g2_i1	1.081741071	FC1	male	3.954784864	male
TRINITY_DN136067_c0_g1_i1	1.082375355	FC1	male	-1.152045036	male
TRINITY_DN133816_c1_g1_i1	1.082531408	FC1	male	6.638811809	male
TRINITY_DN125392_c6_g2_i1	1.082609391	FC1	male	1.683209072	male
TRINITY_DN109907_c0_g1_i1	1.083246044	FC1	male	6.628881274	male
TRINITY_DN123497_c0_g2_i3	1.083669397	FC1	male	-0.253632554	male
TRINITY_DN134084_c1_g1_i4	1.083788671	FC1	male	1.804025512	male
