gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN128402_c0_g1_i2	-7.589252032	FC7	female	2.193971283	male
TRINITY_DN132701_c0_g4_i1	-7.577585305	FC7	female	-1.58808992	male
TRINITY_DN135334_c1_g1_i2	-7.577298492	FC7	female	NA	male
TRINITY_DN131327_c3_g2_i5	-7.574085286	FC7	female	-2.549033791	male
TRINITY_DN112124_c0_g2_i1	-7.56487264	FC7	female	-2.257906769	male
TRINITY_DN121882_c0_g1_i1	-7.562185628	FC7	female	-0.405323457	male
TRINITY_DN122048_c0_g1_i1	-7.552372127	FC7	female	NA	male
TRINITY_DN134939_c7_g2_i1	-7.545689873	FC7	female	NA	male
TRINITY_DN131157_c1_g4_i5	-7.540570473	FC7	female	-3.177696679	male
TRINITY_DN130955_c0_g1_i1	-7.537252204	FC7	female	-0.091859586	male
TRINITY_DN133674_c1_g1_i2	-7.508819361	FC7	female	NA	male
TRINITY_DN115129_c0_g1_i3	-7.496966992	FC7	female	-1.97446968	male
TRINITY_DN74421_c0_g3_i1	-7.496683438	FC7	female	NA	male
TRINITY_DN96323_c0_g1_i1	-7.47005721	FC7	female	NA	male
TRINITY_DN135175_c3_g2_i2	-7.464190878	FC7	female	-2.758944595	male
TRINITY_DN125006_c1_g6_i2	-7.45925733	FC7	female	NA	male
TRINITY_DN126783_c1_g5_i3	-7.454659856	FC7	female	-1.303049624	male
TRINITY_DN107487_c0_g1_i1	-7.436554962	FC7	female	NA	male
TRINITY_DN134508_c1_g2_i1	-7.394969006	FC7	female	NA	male
TRINITY_DN129649_c3_g2_i1	-7.386370866	FC7	female	-1.606948639	male
TRINITY_DN92825_c0_g3_i1	-7.367649627	FC7	female	NA	male
TRINITY_DN131390_c2_g1_i1	-7.336991065	FC7	female	NA	male
TRINITY_DN131967_c0_g4_i1	-7.318518945	FC7	female	NA	male
TRINITY_DN124065_c0_g1_i1	-7.316677695	FC7	female	-0.293286578	male
TRINITY_DN116337_c0_g1_i3	-7.315327784	FC7	female	-2.62219429	male
TRINITY_DN117740_c0_g1_i2	-7.314202203	FC7	female	-0.394802434	male
TRINITY_DN110644_c0_g2_i1	-7.310535608	FC7	female	NA	male
TRINITY_DN92587_c0_g1_i1	-7.306518642	FC7	female	NA	male
TRINITY_DN133129_c0_g1_i1	-7.29062455	FC7	female	NA	male
TRINITY_DN165014_c0_g1_i1	-7.278322642	FC7	female	-1.046933123	male
TRINITY_DN126078_c0_g1_i1	-7.278131892	FC7	female	NA	male
TRINITY_DN132822_c6_g2_i1	-7.274185098	FC7	female	-3.823291155	male
TRINITY_DN128589_c4_g2_i2	-7.26543526	FC7	female	-1.415395611	male
TRINITY_DN69456_c0_g2_i1	-7.245858466	FC7	female	0.102562962	male
TRINITY_DN118036_c0_g1_i1	-7.243634273	FC7	female	0.976492398	male
TRINITY_DN124362_c0_g6_i1	-7.22554125	FC7	female	NA	male
