gid	cutoff	co_sb	log2meanXY	group1
TRINITY_DN113029_c0_g2_i2	1	male	3.19706735	meanmale
TRINITY_DN113038_c0_g2_i1	1	male	0.732384712	meanmale
TRINITY_DN113062_c0_g1_i2	1	male	2.227886233	meanmale
TRINITY_DN113064_c0_g1_i1	1	male	-0.133502649	meanmale
TRINITY_DN113065_c0_g1_i1	1	male	3.930794927	meanmale
TRINITY_DN113088_c0_g1_i3	5	male	4.816079833	meanmale
TRINITY_DN113089_c0_g1_i1	5	male	2.537107874	meanmale
TRINITY_DN113131_c0_g1_i5	5	male	6.790817342	meanmale
TRINITY_DN113145_c0_g1_i1	1	male	2.458623541	meanmale
TRINITY_DN113153_c0_g1_i2	1	male	3.528452097	meanmale
TRINITY_DN113162_c1_g1_i1	3	male	4.322635034	meanmale
TRINITY_DN113178_c0_g1_i2	1	male	1.199049503	meanmale
TRINITY_DN113182_c0_g1_i2	1	male	6.773954049	meanmale
TRINITY_DN113194_c0_g1_i2	1	male	6.576955595	meanmale
TRINITY_DN113202_c0_g1_i1	5	male	5.917982159	meanmale
TRINITY_DN113222_c0_g1_i1	1	male	0.575072668	meanmale
TRINITY_DN113262_c0_g5_i1	1	male	1.734336907	meanmale
TRINITY_DN113292_c0_g1_i3	1	male	0.000995058	meanmale
TRINITY_DN113336_c0_g1_i1	1	male	1.42510923	meanmale
TRINITY_DN113344_c0_g1_i1	1	male	1.325608871	meanmale
TRINITY_DN113348_c0_g3_i1	5	male	2.77201825	meanmale
TRINITY_DN113355_c0_g1_i2	1	male	1.651385032	meanmale
TRINITY_DN113379_c0_g1_i1	1	male	2.764237646	meanmale
TRINITY_DN113403_c0_g2_i2	3	male	1.329473088	meanmale
TRINITY_DN113467_c0_g1_i4	1	male	3.942303689	meanmale
TRINITY_DN113472_c0_g1_i2	1	male	2.11072434	meanmale
TRINITY_DN113473_c0_g1_i2	1	male	0.141431321	meanmale
TRINITY_DN113475_c0_g1_i2	1	male	2.666941393	meanmale
TRINITY_DN113504_c0_g5_i1	1	male	2.432386936	meanmale
TRINITY_DN113511_c0_g2_i1	1	male	1.322555676	meanmale
TRINITY_DN113525_c0_g1_i1	1	male	3.775100663	meanmale
TRINITY_DN113544_c2_g2_i1	1	male	8.11765802	meanmale
TRINITY_DN113610_c0_g1_i1	1	male	3.119611962	meanmale
TRINITY_DN113630_c0_g1_i1	1	male	3.863933814	meanmale
TRINITY_DN113644_c0_g1_i2	3	male	4.479466207	meanmale
TRINITY_DN113662_c0_g1_i2	1	male	11.24492713	meanmale
TRINITY_DN113676_c0_g3_i1	1	male	-0.190623904	meanmale
TRINITY_DN113703_c0_g1_i1	1	male	-0.602694116	meanmale
TRINITY_DN113710_c0_g1_i2	5	male	-0.376371039	meanmale
TRINITY_DN113711_c0_g1_i1	3	male	2.812944091	meanmale
TRINITY_DN113772_c0_g1_i5	3	male	1.257448411	meanmale
TRINITY_DN113781_c0_g2_i1	7	male	3.223241772	meanmale
TRINITY_DN113791_c0_g1_i2	1	male	7.611003064	meanmale
TRINITY_DN113795_c0_g1_i4	1	male	6.354029079	meanmale
TRINITY_DN113796_c0_g2_i1	1	male	1.940262783	meanmale
TRINITY_DN113796_c0_g5_i1	1	male	3.118402217	meanmale
TRINITY_DN113800_c1_g1_i4	1	male	2.867815535	meanmale
TRINITY_DN113806_c0_g1_i5	3	male	0.493562079	meanmale
TRINITY_DN113836_c0_g1_i1	1	male	5.816609533	meanmale
TRINITY_DN113862_c0_g1_i1	1	male	2.708171609	meanmale
TRINITY_DN113864_c0_g1_i1	1	male	-1.078182599	meanmale
TRINITY_DN113894_c0_g1_i1	5	male	3.492318681	meanmale
TRINITY_DN114033_c0_g1_i2	1	male	3.689854713	meanmale
TRINITY_DN114033_c0_g3_i2	1	male	4.542762346	meanmale
TRINITY_DN114035_c0_g2_i1	1	male	5.809871275	meanmale
TRINITY_DN114037_c0_g2_i2	1	male	2.476837671	meanmale
TRINITY_DN114055_c0_g1_i1	5	male	0.737846406	meanmale
TRINITY_DN114065_c0_g1_i1	1	male	1.553511489	meanmale
TRINITY_DN114069_c0_g1_i1	1	male	-1.217453207	meanmale
TRINITY_DN114086_c0_g1_i1	3	male	2.365437201	meanmale
TRINITY_DN114090_c0_g1_i1	1	male	1.047707253	meanmale
TRINITY_DN114109_c0_g1_i1	1	male	0.476625036	meanmale
TRINITY_DN114114_c0_g1_i1	3	male	1.633141678	meanmale
TRINITY_DN114117_c0_g1_i3	1	male	1.575980062	meanmale
TRINITY_DN114125_c0_g1_i1	1	male	3.083500244	meanmale
TRINITY_DN114141_c0_g2_i1	1	male	0.887481125	meanmale
