gid	sex	bias
5.371288609	meanmale	unbias
4.671337648	meanmale	unbias
6.64408051	meanmale	unbias
5.863701213	meanmale	unbias
1.405226904	meanmale	unbias
4.255836081	meanmale	unbias
1.25130507	meanmale	unbias
3.802179621	meanmale	unbias
-0.505536149	meanmale	unbias
4.720682332	meanmale	unbias
0.659092447	meanmale	unbias
1.927063264	meanmale	unbias
6.33496453	meanmale	unbias
-0.541698615	meanmale	unbias
1.568616337	meanmale	unbias
0.024080406	meanmale	unbias
-0.907518007	meanmale	unbias
3.856755432	meanmale	unbias
5.962682204	meanmale	unbias
0.090553956	meanmale	unbias
5.441146709	meanmale	unbias
6.217556116	meanmale	unbias
0.52740258	meanmale	unbias
2.877619217	meanmale	unbias
NA?	meanmale	unbias
2.434921253	meanmale	unbias
4.679214728	meanmale	unbias
1.145906416	meanmale	unbias
0.173615017	meanmale	unbias
1.187977909	meanmale	unbias
0.726497384	meanmale	unbias
1.319104862	meanmale	unbias
4.075286949	meanmale	unbias
0.889184879	meanmale	unbias
7.20692356	meanmale	unbias
5.633635869	meanmale	unbias
6.786826365	meanmale	unbias
4.294668842	meanmale	unbias
3.502292461	meanmale	unbias
5.583510347	meanmale	unbias
1.925489322	meanmale	unbias
0.442045763	meanmale	unbias
5.349831018	meanmale	unbias
1.599058948	meanmale	unbias
3.985534492	meanmale	unbias
-0.410130529	meanmale	unbias
-0.1562335	meanmale	unbias
3.71460291	meanmale	unbias
0.686652821	meanmale	unbias
5.396176089	meanmale	unbias
4.33758849	meanmale	unbias
5.577466707	meanmale	unbias
3.730992287	meanmale	unbias
2.085271284	meanmale	unbias
6.310022048	meanmale	unbias
6.122109498	meanmale	unbias
NA?	meanmale	unbias
0.865951946	meanmale	unbias
7.132634827	meanmale	unbias
0.688189049	meanmale	unbias
7.862171792	meanmale	unbias
2.428042119	meanmale	unbias
NA?	meanmale	unbias
2.819176435	meanmale	unbias
1.518699713	meanmale	unbias
3.230487675	meanmale	unbias
1.357536657	meanmale	unbias
0.873996794	meanmale	unbias
3.118322561	meanmale	unbias
1.079557078	meanmale	unbias
5.163893598	meanmale	unbias
-0.368160007	meanmale	unbias
-0.867830934	meanmale	unbias
