Log2RPKM	sex	bias
4.20640523	meanmale	female
2.659451041	meanmale	female
5.854519454	meanmale	female
1.213894628	meanmale	female
-0.042496309	meanmale	female
3.085611647	meanmale	female
-2.263863023	meanmale	female
4.790000564	meanmale	female
4.318358684	meanmale	female
4.451347487	meanmale	female
0.236759695	meanmale	female
3.995165494	meanmale	female
-0.166845545	meanmale	female
1.913397099	meanmale	female
NA	meanmale	female
-2.863856237	meanmale	female
0.487003229	meanmale	female
-0.078830833	meanmale	female
3.277863532	meanmale	female
NA	meanmale	female
0.144000385	meanmale	female
NA	meanmale	female
3.163244897	meanmale	female
NA	meanmale	female
NA	meanmale	female
3.075330962	meanmale	female
4.940122276	meanmale	female
1.190469289	meanmale	female
0.617167566	meanmale	female
4.476897173	meanmale	female
2.974797827	meanmale	female
-1.099491771	meanmale	female
-0.397436518	meanmale	female
3.249675617	meanmale	female
0.414110041	meanmale	female
3.865923634	meanmale	female
NA	meanmale	female
-1.730281731	meanmale	female
-1.97446968	meanmale	female
4.487002103	meanmale	female
1.323899483	meanmale	female
NA	meanmale	female
2.18280927	meanmale	female
1.959350585	meanmale	female
1.604062913	meanmale	female
5.346421084	meanmale	female
1.739859188	meanmale	female
NA	meanmale	female
-2.629498813	meanmale	female
1.545806197	meanmale	female
4.000101644	meanmale	female
3.818726002	meanmale	female
5.655589368	meanmale	female
4.335599423	meanmale	female
3.788014096	meanmale	female
-2.5955342	meanmale	female
-1.189532452	meanmale	female
4.910457742	meanmale	female
-2.83443221	meanmale	female
0.263839321	meanmale	female
3.323155294	meanmale	female
NA	meanmale	female
0.379094617	meanmale	female
5.805645642	meanmale	female
4.099651632	meanmale	female
-0.018411418	meanmale	female
0.661204512	meanmale	female
3.843986048	meanmale	female
0.053353912	meanmale	female
NA	meanmale	female
4.207405169	meanmale	female
-0.076206798	meanmale	female
4.664055104	meanmale	female
-0.669794151	meanmale	female
4.356545774	meanmale	female
-1.765253173	meanmale	female
1.971543479	meanmale	female
0.66176416	meanmale	female
1.150139154	meanmale	female
1.487044643	meanmale	female
3.987852625	meanmale	female
1.137562214	meanmale	female
3.625924782	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
5.095966882	meanmale	female
3.612833342	meanmale	female
6.008821052	meanmale	female
NA	meanmale	female
2.013822684	meanmale	female
1.841934666	meanmale	female
1.172207681	meanmale	female
3.410651513	meanmale	female
NA	meanmale	female
1.451817546	meanmale	female
2.230068523	meanmale	female
2.400043125	meanmale	female
0.201856413	meanmale	female
2.826909574	meanmale	female
3.045587286	meanmale	female
NA	meanmale	female
2.309487282	meanmale	female
4.84390282	meanmale	female
1.329294691	meanmale	female
3.279200482	meanmale	female
-2.175398697	meanmale	female
3.612769492	meanmale	female
6.333977072	meanmale	female
4.355543826	meanmale	female
3.540631118	meanmale	female
-2.028717335	meanmale	female
-0.790697264	meanmale	female
5.764330774	meanmale	female
0.057680062	meanmale	female
-1.689025798	meanmale	female
1.462175809	meanmale	female
0.440224099	meanmale	female
3.316157815	meanmale	female
6.036539008	meanmale	female
1.512813342	meanmale	female
3.307520336	meanmale	female
-1.059035365	meanmale	female
3.776057589	meanmale	female
0.084878599	meanmale	female
-1.178779309	meanmale	female
2.235706033	meanmale	female
6.443763036	meanmale	female
2.075066275	meanmale	female
-1.129371697	meanmale	female
NA	meanmale	female
5.774255879	meanmale	female
2.067474588	meanmale	female
NA	meanmale	female
2.343051388	meanmale	female
4.573135371	meanmale	female
2.490141573	meanmale	female
-1.674836761	meanmale	female
4.728973814	meanmale	female
-2.622194289	meanmale	female
5.748809525	meanmale	female
5.729786555	meanmale	female
5.592990057	meanmale	female
3.823272072	meanmale	female
1.63363056	meanmale	female
NA	meanmale	female
4.197139242	meanmale	female
3.769910683	meanmale	female
2.382036613	meanmale	female
0.906758366	meanmale	female
1.496736127	meanmale	female
1.689420805	meanmale	female
2.761046846	meanmale	female
NA	meanmale	female
0.474868066	meanmale	female
2.467747444	meanmale	female
6.441866521	meanmale	female
4.846796121	meanmale	female
1.691561876	meanmale	female
NA	meanmale	female
NA	meanmale	female
0.250498586	meanmale	female
-1.605397201	meanmale	female
3.405337229	meanmale	female
5.286927926	meanmale	female
NA	meanmale	female
NA	meanmale	female
4.745575029	meanmale	female
3.316381747	meanmale	female
5.118692377	meanmale	female
0.565613865	meanmale	female
1.815419597	meanmale	female
0.82591281	meanmale	female
-1.113567338	meanmale	female
1.438772107	meanmale	female
-1.060633061	meanmale	female
-0.105757296	meanmale	female
0.724701492	meanmale	female
5.868221713	meanmale	female
3.579272452	meanmale	female
2.285547977	meanmale	female
4.092934885	meanmale	female
1.99392053	meanmale	female
1.836742308	meanmale	female
-1.05982978	meanmale	female
-0.220540393	meanmale	female
3.214246201	meanmale	female
0.259833815	meanmale	female
-1.642112512	meanmale	female
3.915727104	meanmale	female
-1.602453199	meanmale	female
NA	meanmale	female
4.420331464	meanmale	female
3.349426006	meanmale	female
6.067346052	meanmale	female
3.202177335	meanmale	female
-1.644982783	meanmale	female
-0.892438508	meanmale	female
3.289457567	meanmale	female
NA	meanmale	female
0.192330437	meanmale	female
5.021459533	meanmale	female
-0.658908023	meanmale	female
0.57776786	meanmale	female
0.471741006	meanmale	female
2.225409839	meanmale	female
5.586078419	meanmale	female
-0.66212117	meanmale	female
4.817544481	meanmale	female
2.352390018	meanmale	female
0.154747437	meanmale	female
-0.191814179	meanmale	female
1.620017528	meanmale	female
3.901470364	meanmale	female
-1.450160852	meanmale	female
2.834229663	meanmale	female
4.415543793	meanmale	female
0.590447929	meanmale	female
7.280067769	meanmale	female
5.096879212	meanmale	female
-0.716377192	meanmale	female
-0.597903174	meanmale	female
3.516430633	meanmale	female
-0.968672156	meanmale	female
