gid	sex	log2RPKM	cutoff
TRINITY_DN100904_c0_g1_i1	meanfemale	3.029508495	FC3
TRINITY_DN125454_c3_g1_i1	meanfemale	4.916551027	FC3
TRINITY_DN122373_c0_g2_i1	meanfemale	1.777634689	FC3
TRINITY_DN126578_c1_g1_i7	meanfemale	6.273050567	FC3
TRINITY_DN127990_c0_g1_i1	meanfemale	1.143859988	FC3
TRINITY_DN105578_c0_g1_i1	meanfemale	1.691814504	FC3
TRINITY_DN128381_c1_g2_i2	meanfemale	2.603369679	FC3
TRINITY_DN113362_c0_g2_i1	meanfemale	2.77238099	FC3
TRINITY_DN120873_c2_g2_i1	meanfemale	2.682495366	FC3
TRINITY_DN129285_c0_g1_i3	meanfemale	2.700487794	FC3
TRINITY_DN125143_c3_g4_i3	meanfemale	1.705570651	FC3
TRINITY_DN79505_c0_g1_i1	meanfemale	3.993654902	FC3
TRINITY_DN117339_c0_g2_i1	meanfemale	2.951467983	FC3
TRINITY_DN119517_c0_g1_i1	meanfemale	4.67229774	FC3
TRINITY_DN117624_c0_g1_i1	meanfemale	1.912993373	FC3
TRINITY_DN121732_c0_g1_i1	meanfemale	1.472676251	FC3
TRINITY_DN134780_c2_g1_i3	meanfemale	5.192137543	FC3
TRINITY_DN127557_c3_g1_i1	meanfemale	2.135663931	FC3
TRINITY_DN126672_c0_g1_i2	meanfemale	0.619562491	FC3
TRINITY_DN126311_c2_g1_i1	meanfemale	2.484769675	FC3
TRINITY_DN123382_c0_g1_i1	meanfemale	6.872741716	FC3
TRINITY_DN127143_c0_g2_i1	meanfemale	1.493329539	FC3
TRINITY_DN129243_c2_g1_i1	meanfemale	3.612720958	FC3
TRINITY_DN132659_c0_g1_i2	meanfemale	6.028530958	FC3
TRINITY_DN113820_c0_g1_i1	meanfemale	5.49106026	FC3
