gid	tau	tissue	stage
TRINITY_DN119762_c1_g1_i1	0.3517819	Ovary_mean	G23
TRINITY_DN126129_c11_g1_i2	0.410804097	G27_mmean	G23
TRINITY_DN126701_c6_g2_i1	0.454461059	Ovary_mean	G23
TRINITY_DN128810_c1_g5_i4	0.16799382	Testis_mean	G23
TRINITY_DN128670_c0_g1_i2	0.703528534	G23_fmean	G23
TRINITY_DN122981_c1_g1_i4	0.52064977	Brain_fmean	G23
TRINITY_DN128932_c0_g1_i1	0.367115259	Ovary_mean	G23
TRINITY_DN133494_c5_g7_i2	0.54218524	Liver_fmean	G23
TRINITY_DN128374_c0_g17_i2	0.486613446	Ovary_mean	G23
TRINITY_DN128271_c1_g4_i1	0.340693807	G23_fmean	G23
TRINITY_DN114651_c0_g1_i3	0.447724761	Ovary_mean	G23
TRINITY_DN130374_c0_g2_i3	0.277222298	Brain_mmean	G23
TRINITY_DN125860_c0_g1_i1	0.558149489	G27_mmean	G23
TRINITY_DN115111_c0_g1_i1	0.097294457	G43_F_mean	G23
TRINITY_DN116092_c0_g3_i1	0.304260153	G46_M_mean	G23
TRINITY_DN103500_c0_g1_i1	0.300281271	Ovary_mean	G23
TRINITY_DN116861_c0_g1_i1	0.281165875	G46_F_mean	G23
TRINITY_DN135574_c5_g5_i2	0.161839082	Brain_mmean	G23
TRINITY_DN101087_c0_g1_i1	0.273916653	Ovary_mean	G23
TRINITY_DN123719_c0_g1_i4	0.150634803	G27_mmean	G23
TRINITY_DN135594_c6_g2_i2	0.46459859	G23_mmean	G23
TRINITY_DN102167_c0_g1_i2	0.29869715	Ovary_mean	G23
TRINITY_DN122725_c0_g1_i3	0.395929915	G23_fmean	G23
TRINITY_DN131358_c1_g3_i1	0.341783884	Brain_mmean	G23
TRINITY_DN95968_c0_g1_i1	0.253639753	Testis_mean	G23
TRINITY_DN129170_c1_g2_i2	0.086875192	Testis_mean	G23
TRINITY_DN133866_c2_g2_i1	0.162203036	Ovary_mean	G23
