ID	Tissue_specific_index	Tissue_name
TRINITY_DN200257_c0_g1_i1	1	Ovary_mean
TRINITY_DN108238_c0_g1_i1	1	Ovary_mean
TRINITY_DN122079_c2_g1_i1	1	Brain_mmean
TRINITY_DN195279_c0_g1_i1	1	Ovary_mean
TRINITY_DN158272_c0_g1_i1	1	Ovary_mean
TRINITY_DN154867_c0_g1_i1	1	Ovary_mean
TRINITY_DN14713_c0_g1_i1	1	Ovary_mean
TRINITY_DN211268_c0_g1_i1	1	Ovary_mean
TRINITY_DN112104_c0_g3_i1	1	G31_fmean
TRINITY_DN124401_c0_g1_i1	1	Ovary_mean
TRINITY_DN186950_c0_g1_i1	1	Ovary_mean
TRINITY_DN150911_c0_g1_i1	1	Ovary_mean
TRINITY_DN154211_c0_g1_i1	1	Ovary_mean
TRINITY_DN94686_c0_g1_i1	1	Ovary_mean
TRINITY_DN205600_c0_g1_i1	1	Ovary_mean
TRINITY_DN145459_c0_g1_i1	1	Ovary_mean
TRINITY_DN74527_c0_g1_i1	1	Testis_mean
TRINITY_DN27094_c0_g1_i1	1	Liver_mmean
TRINITY_DN80258_c0_g1_i1	1	Ovary_mean
TRINITY_DN49872_c0_g1_i1	1	G46_M_mean
TRINITY_DN186123_c0_g1_i1	1	Brain_fmean
TRINITY_DN191016_c0_g1_i1	1	Ovary_mean
TRINITY_DN68921_c0_g1_i1	1	Ovary_mean
TRINITY_DN19500_c0_g2_i1	1	Testis_mean
TRINITY_DN166466_c0_g1_i1	1	Ovary_mean
TRINITY_DN48093_c0_g1_i1	1	Ovary_mean
TRINITY_DN123537_c0_g5_i1	1	Ovary_mean
TRINITY_DN135640_c2_g6_i1	1	Brain_fmean
TRINITY_DN343_c0_g2_i1	1	Testis_mean
TRINITY_DN110958_c0_g1_i1	1	Testis_mean
TRINITY_DN65531_c0_g1_i1	1	Ovary_mean
TRINITY_DN47165_c0_g1_i1	1	Ovary_mean
TRINITY_DN109470_c0_g2_i1	1	Testis_mean
TRINITY_DN4276_c0_g1_i1	1	Ovary_mean
TRINITY_DN151537_c0_g1_i1	1	Ovary_mean
TRINITY_DN29653_c0_g1_i1	1	Ovary_mean
TRINITY_DN146714_c0_g1_i1	1	Liver_fmean
TRINITY_DN48260_c0_g1_i1	1	Testis_mean
TRINITY_DN91390_c0_g1_i1	1	Ovary_mean
TRINITY_DN104497_c0_g1_i2	1	Ovary_mean
TRINITY_DN114305_c0_g1_i1	1	Ovary_mean
TRINITY_DN117523_c0_g1_i1	1	Ovary_mean
TRINITY_DN155307_c0_g1_i1	1	Ovary_mean
TRINITY_DN14266_c0_g2_i1	1	G43_M_mean
TRINITY_DN55408_c0_g1_i1	1	Brain_fmean
TRINITY_DN17345_c0_g1_i1	1	Ovary_mean
TRINITY_DN129209_c5_g1_i1	1	Ovary_mean
TRINITY_DN68476_c0_g1_i1	1	Ovary_mean
TRINITY_DN8011_c0_g1_i1	1	Ovary_mean
TRINITY_DN122666_c4_g1_i3	1	Testis_mean
TRINITY_DN94385_c0_g1_i1	1	Ovary_mean
TRINITY_DN16897_c0_g1_i1	1	Ovary_mean
TRINITY_DN208375_c0_g1_i1	1	Ovary_mean
TRINITY_DN183780_c0_g1_i1	1	Ovary_mean
TRINITY_DN21526_c0_g1_i1	1	Ovary_mean
TRINITY_DN128042_c2_g2_i1	1	Testis_mean
TRINITY_DN135195_c0_g1_i1	1	Ovary_mean
TRINITY_DN98441_c0_g1_i1	1	Ovary_mean
TRINITY_DN145329_c0_g1_i1	1	Ovary_mean
TRINITY_DN47573_c0_g1_i1	1	Liver_mmean
TRINITY_DN126815_c0_g2_i1	1	Ovary_mean
TRINITY_DN63183_c0_g1_i1	1	Testis_mean
TRINITY_DN39769_c0_g1_i1	1	Brain_fmean
TRINITY_DN85998_c0_g2_i1	1	Testis_mean
TRINITY_DN84634_c0_g1_i1	1	Ovary_mean
TRINITY_DN83209_c0_g2_i1	1	Brain_fmean
TRINITY_DN17873_c0_g1_i1	1	Liver_fmean
TRINITY_DN98967_c0_g3_i1	1	Brain_fmean
TRINITY_DN129088_c5_g1_i1	1	Ovary_mean
TRINITY_DN112535_c0_g1_i3	1	Ovary_mean
TRINITY_DN146256_c0_g1_i1	1	Ovary_mean
TRINITY_DN157327_c0_g1_i1	1	Ovary_mean
TRINITY_DN124302_c1_g4_i1	1	Ovary_mean
TRINITY_DN217772_c0_g1_i1	1	Liver_fmean
TRINITY_DN43691_c0_g1_i1	1	Ovary_mean
TRINITY_DN143493_c0_g1_i1	1	Ovary_mean
TRINITY_DN96966_c0_g1_i1	1	G46_F_mean
TRINITY_DN111024_c0_g1_i1	1	Brain_mmean
TRINITY_DN119205_c0_g3_i1	1	Testis_mean
TRINITY_DN135699_c6_g2_i1	1	Ovary_mean
TRINITY_DN213402_c0_g1_i1	1	Ovary_mean
TRINITY_DN22158_c0_g1_i1	1	Testis_mean
TRINITY_DN74527_c0_g2_i1	1	Testis_mean
TRINITY_DN131710_c5_g4_i1	1	Testis_mean
TRINITY_DN116454_c0_g2_i1	1	Testis_mean
TRINITY_DN212660_c0_g1_i1	1	Ovary_mean
TRINITY_DN18669_c0_g1_i1	1	Ovary_mean
TRINITY_DN68007_c0_g1_i1	1	Ovary_mean
TRINITY_DN78278_c0_g2_i1	1	Ovary_mean
TRINITY_DN42221_c0_g1_i1	1	Ovary_mean
